in,Lon,Lat,x,y,q,tc,te,tl,Node
CT-1370,-118.6370296,34.16720325,-21.934,8.222,252,4.2,8,20,425
CT-1371.03,-118.601352,34.17449027,-19.892,8.726,220,3.667,8,20,445
CT-1371.04,-118.5849603,34.17376834,-18.955,8.676,126,2.1,8,20,447
CT-1372.02,-118.6102691,34.17458276,-20.402,8.732,136,2.267,8,20,443
CT-1372.03,-118.6189425,34.17212982,-20.898,8.562,165,2.75,8,20,427
CT-1373.01,-118.6339993,34.17653735,-21.758,8.867,133,2.217,8,20,424
CT-1373.02,-118.6542081,34.17735284,-22.913,8.923,205,3.417,8,20,429
CT-1374.01,-118.6108512,34.15915073,-20.439,7.666,202,3.367,8,20,443
CT-1374.02,-118.6249648,34.15546965,-21.247,7.411,316,5.267,8,20,426
CT-1375.01,-118.5768155,34.16493921,-18.492,8.066,214,3.567,8,20,452
CT-1375.02,-118.597705,34.16345669,-19.686,7.963,189,3.15,8,20,446
CT-1375.04,-118.5720715,34.14804397,-18.224,6.898,77,1.283,8,20,452
CT-1380,-118.591062,34.14880579,-19.31,6.951,239,3.983,8,20,442
CT-1390.01,-118.5117303,34.17541617,-14.769,8.79,251,4.183,8,20,462
CT-1392,-118.5246569,34.17570099,-15.508,8.809,264,4.4,8,20,456
CT-1393.01,-118.558139,34.17815845,-17.421,8.979,232,3.867,8,20,453
CT-1393.02,-118.5383777,34.17672791,-16.292,8.88,220,3.667,8,20,456
CT-1393.03,-118.5333195,34.17628924,-16.003,8.85,177,2.95,8,20,456
CT-1394.01,-118.5375953,34.16970033,-16.248,8.395,85,1.417,8,20,455
CT-1394.02,-118.5517906,34.16776958,-17.06,8.261,174,2.9,8,20,455
CT-1395.02,-118.5263234,34.16284513,-15.605,7.921,122,2.033,8,20,455
CT-1395.04,-118.5202625,34.16702314,-15.258,8.21,149,2.483,8,20,455
CT-1395.05,-118.5231779,34.16753447,-15.425,8.245,123,2.05,8,20,455
CT-1395.06,-118.5257869,34.16802648,-15.574,8.279,130,2.167,8,20,455
CT-1396,-118.5101123,34.16406485,-14.678,8.005,248,4.133,8,20,459
CT-1397.01,-118.495732,34.15734778,-13.857,7.541,288,4.8,8,20,461
CT-1397.03,-118.5320902,34.14458462,-15.938,6.659,161,2.683,8,20,455
CT-1397.04,-118.5132752,34.14120163,-14.863,6.425,131,2.183,8,20,459
CT-1397.05,-118.4916384,34.14005141,-13.626,6.346,211,3.517,8,20,2348
CT-1398.01,-118.5455953,34.15272222,-16.709,7.221,187,3.117,8,20,455
CT-1398.02,-118.5563684,34.14287036,-17.327,6.541,228,3.8,8,20,452
CT-1411.01,-118.4266627,34.1515509,-9.909,7.141,188,3.133,8,20,2394
CT-1411.02,-118.4323248,34.14910229,-10.233,6.971,134,2.233,8,20,2394
CT-1412.01,-118.442447,34.15273153,-10.811,7.222,155,2.583,8,20,2392
CT-1412.02,-118.4423725,34.14718466,-10.807,6.839,140,2.333,8,20,2392
CT-1413.03,-118.4552587,34.15494953,-11.543,7.375,124,2.067,8,20,2370
CT-1413.04,-118.4526415,34.15100589,-11.394,7.103,112,1.867,8,20,2392
CT-1413.05,-118.4629737,34.15631178,-11.984,7.469,87,1.45,8,20,2364
CT-1413.06,-118.4628658,34.1506104,-11.979,7.076,116,1.933,8,20,2365
CT-1414,-118.4761396,34.15753883,-12.737,7.554,251,4.183,8,20,2357
CT-1415,-118.4787672,34.14056749,-12.89,6.382,135,2.25,8,20,2348
CT-1416,-118.4612219,34.13889384,-11.886,6.266,199,3.317,8,20,2355
CT-1417,-118.4376607,34.13799118,-10.539,6.204,161,2.683,8,20,2394
CT-1431.01,-118.3538328,34.14749527,-5.744,6.86,62,1.033,8,20,2424
CT-1431.02,-118.3626496,34.15013939,-6.248,7.043,72,1.2,8,20,2449
CT-1432,-118.3720741,34.14944477,-6.787,6.995,163,2.717,8,20,2450
CT-1433.01,-118.387826,34.15599008,-7.687,7.447,140,2.333,8,20,2441
CT-1433.02,-118.3863699,34.15117524,-7.605,7.115,138,2.3,8,20,2441
CT-1434.01,-118.4138811,34.15349867,-9.177,7.275,248,4.133,8,20,2425
CT-1434.02,-118.4008572,34.15399519,-8.433,7.309,90,1.5,8,20,2428
CT-1435,-118.4071012,34.14776186,-8.79,6.879,264,4.4,8,20,2404
CT-1436.02,-118.3875165,34.14512423,-7.671,6.696,197,3.283,8,20,2421
CT-1436.03,-118.3720294,34.1444918,-6.785,6.653,83,1.383,8,20,2423
CT-1436.05,-118.3649506,34.14151707,-6.38,6.447,51,0.85,8,20,2422
CT-1436.06,-118.3713008,34.14119428,-6.744,6.425,46,0.767,8,20,2422
CT-1437,-118.3568257,34.12898638,-5.917,5.581,166,2.767,8,20,2424
CT-1438.01,-118.3858063,34.13690259,-7.574,6.128,129,2.15,8,20,2421
CT-1438.02,-118.3743754,34.13388816,-6.92,5.92,85,1.417,8,20,2422
CT-1439.01,-118.3974036,34.13251413,-8.237,5.825,225,3.75,8,20,2403
CT-1439.02,-118.4186975,34.13696114,-9.455,6.132,115,1.917,8,20,2404
CT-1810,-118.2028341,34.14399613,2.891,6.619,266,4.433,8,20,2834
CT-1813,-118.2236713,34.13609006,1.699,6.072,180,3,8,20,2833
CT-1814,-118.2088859,34.13672419,2.545,6.116,205,3.417,8,20,2834
CT-1815,-118.1928642,34.13478595,3.461,5.982,177,2.95,8,20,2834
CT-1816,-118.2097528,34.12972822,2.495,5.633,235,3.917,8,20,2834
CT-1831.01,-118.1817994,34.12251193,4.095,5.134,124,2.067,8,20,2829
CT-1831.03,-118.1757882,34.11582186,4.439,4.672,219,3.65,8,20,2837
CT-1831.04,-118.1726968,34.12149035,4.615,5.063,103,1.717,8,20,2837
CT-1832.2,-118.1892983,34.1199771,3.666,4.959,144,2.4,8,20,2829
CT-1832.21,-118.1909507,34.12543692,3.571,5.336,172,2.867,8,20,2829
CT-1832.22,-118.1973475,34.12918661,3.205,5.595,138,2.3,8,20,2834
CT-1833,-118.2008285,34.12100502,3.006,5.03,150,2.5,8,20,2829
CT-1834.01,-118.2092384,34.12167102,2.525,5.076,110,1.833,8,20,2831
CT-1834.02,-118.2164221,34.12572559,2.114,5.356,120,2,8,20,2831
CT-1835.1,-118.2030948,34.11540706,2.877,4.643,121,2.017,8,20,2831
CT-1835.2,-118.201597,34.11094607,2.963,4.335,186,3.1,8,20,2829
CT-1836.1,-118.1949096,34.11400731,3.345,4.546,123,2.05,8,20,2829
CT-1836.2,-118.1898645,34.11518084,3.634,4.627,117,1.95,8,20,2829
CT-1837.01,-118.187872,34.10931059,3.748,4.222,125,2.083,8,20,2829
CT-1837.02,-118.1842138,34.10547526,3.957,3.957,123,2.05,8,20,2830
CT-1838.1,-118.1978617,34.10736988,3.176,4.088,180,3,8,20,2829
CT-1838.2,-118.1971376,34.10396409,3.218,3.852,105,1.75,8,20,2829
CT-1851.01,-118.2060446,34.10247565,2.708,3.75,124,2.067,8,20,2827
CT-1851.02,-118.2128366,34.10623131,2.32,4.009,123,2.05,8,20,2831
CT-1852.02,-118.2170753,34.09506478,2.077,3.237,191,3.183,8,20,2828
CT-1852.03,-118.2316998,34.10013175,1.241,3.588,136,2.267,8,20,2745
CT-1852.04,-118.2232716,34.10290939,1.723,3.78,94,1.567,8,20,2755
CT-1853.1,-118.222638,34.09220779,1.759,3.04,150,2.5,8,20,2749
CT-1853.2,-118.2248206,34.08868753,1.634,2.797,145,2.417,8,20,2749
CT-1861,-118.2299929,34.12846758,1.338,5.546,211,3.517,8,20,2831
CT-1862.01,-118.2188579,34.1213172,1.975,5.051,134,2.233,8,20,2831
CT-1862.02,-118.2242019,34.12003391,1.669,4.963,76,1.267,8,20,2831
CT-1862.03,-118.2153537,34.11500796,2.175,4.616,160,2.667,8,20,2831
CT-1863.01,-118.240427,34.12235447,0.741,5.123,138,2.3,8,20,2754
CT-1863.02,-118.2288673,34.11267805,1.402,4.455,201,3.35,8,20,2755
CT-1864.01,-118.2455297,34.1174953,0.449,4.787,166,2.767,8,20,2743
CT-1864.03,-118.2395338,34.11179316,0.792,4.393,150,2.5,8,20,2743
CT-1864.04,-118.2354415,34.10676444,1.026,4.046,146,2.433,8,20,2743
CT-1871.01,-118.2590724,34.11545454,-0.326,4.646,125,2.083,8,20,2730
CT-1871.02,-118.2432044,34.10371094,0.582,3.835,187,3.117,8,20,2738
CT-1872,-118.2472522,34.10322398,0.351,3.801,131,2.183,8,20,2737
CT-1873,-118.2567363,34.10161761,-0.192,3.69,140,2.333,8,20,2736
CT-1881,-118.2711248,34.136435,-1.015,6.096,121,2.017,8,20,2719
CT-1882.01,-118.2722619,34.11183977,-1.08,4.397,136,2.267,8,20,2710
CT-1882.02,-118.2797663,34.11640596,-1.509,4.712,105,1.75,8,20,2717
CT-1883,-118.2641485,34.12076184,-0.616,5.013,139,2.317,8,20,2726
CT-1891.01,-118.2885172,34.10474162,-2.01,3.906,85,1.417,8,20,2666
CT-1891.02,-118.2884447,34.11264029,-2.006,4.452,143,2.383,8,20,2667
CT-1892.01,-118.2961727,34.10358773,-2.448,3.826,95,1.583,8,20,2666
CT-1892.02,-118.2957676,34.11133657,-2.425,4.362,129,2.15,8,20,2667
CT-1893,-118.309327,34.11127227,-3.201,4.357,130,2.167,8,20,2661
CT-1894,-118.321155,34.12008644,-3.877,4.966,124,2.067,8,20,2646
CT-1895.01,-118.3192723,34.10892814,-3.77,4.195,83,1.383,8,20,2649
CT-1895.02,-118.3240738,34.10770949,-4.044,4.111,71,1.183,8,20,2649
CT-1896,-118.3298109,34.1112653,-4.372,4.357,133,2.217,8,20,2646
CT-1897.02,-118.3410361,34.11249783,-5.015,4.442,81,1.35,8,20,2644
CT-1897.03,-118.3342881,34.12770134,-4.628,5.493,70,1.167,8,20,2652
CT-1897.04,-118.3431781,34.13410671,-5.136,5.935,47,0.783,8,20,2652
CT-1898.01,-118.3613514,34.09848101,-6.178,3.474,87,1.45,8,20,2416
CT-1898.02,-118.356084,34.09806076,-5.876,3.444,63,1.05,8,20,2416
CT-1899.03,-118.3477246,34.10251997,-5.398,3.753,80,1.333,8,20,2635
CT-1899.04,-118.3468051,34.09972391,-5.345,3.559,77,1.283,8,20,2635
CT-1899.05,-118.3516004,34.10060785,-5.62,3.62,103,1.717,8,20,2635
CT-1899.06,-118.3468353,34.09616939,-5.347,3.314,65,1.083,8,20,2634
CT-1899.07,-118.3517441,34.09620423,-5.628,3.316,82,1.367,8,20,2634
CT-1901.01,-118.3423186,34.1024697,-5.089,3.749,55,0.917,8,20,2635
CT-1901.02,-118.3413422,34.09771339,-5.033,3.42,87,1.45,8,20,2639
CT-1902.01,-118.3297262,34.10336268,-4.368,3.811,89,1.483,8,20,2643
CT-1902.02,-118.3355474,34.10340712,-4.701,3.814,100,1.667,8,20,2636
CT-1903.02,-118.3177574,34.10396776,-3.683,3.853,129,2.15,8,20,2657
CT-1903.03,-118.3114689,34.10355199,-3.323,3.824,93,1.55,8,20,2661
CT-1904.01,-118.3027989,34.10357671,-2.827,3.826,120,2,8,20,2661
CT-1904.02,-118.3071636,34.10355394,-3.077,3.824,63,1.05,8,20,2661
CT-1905.1,-118.3114023,34.09998192,-3.32,3.577,128,2.133,8,20,2661
CT-1905.2,-118.303817,34.09993765,-2.886,3.574,189,3.15,8,20,2660
CT-1907.01,-118.3326685,34.09978881,-4.537,3.564,69,1.15,8,20,2643
CT-1907.02,-118.3359317,34.09618661,-4.723,3.315,46,0.767,8,20,2639
CT-1908.01,-118.3244708,34.09438158,-4.068,3.19,69,1.15,8,20,2642
CT-1908.02,-118.329928,34.09436528,-4.38,3.189,100,1.667,8,20,2640
CT-1909.01,-118.3124893,34.09442706,-3.382,3.193,188,3.133,8,20,2658
CT-1909.02,-118.3190252,34.09439991,-3.756,3.192,123,2.05,8,20,2658
CT-1910,-118.3216892,34.10095967,-3.908,3.645,170,2.833,8,20,2657
CT-1911.1,-118.304953,34.0965889,-2.951,3.343,147,2.45,8,20,2660
CT-1911.2,-118.3048062,34.09293359,-2.943,3.09,133,2.217,8,20,2662
CT-1912.01,-118.2961857,34.0985815,-2.449,3.48,218,3.633,8,20,2665
CT-1912.03,-118.2939198,34.09317232,-2.32,3.107,86,1.433,8,20,2664
CT-1912.04,-118.2982933,34.09307099,-2.57,3.1,63,1.05,8,20,2664
CT-1913.01,-118.2865974,34.09233936,-1.901,3.049,96,1.6,8,20,2706
CT-1913.02,-118.2884158,34.09623259,-2.005,3.318,73,1.217,8,20,2707
CT-1914.1,-118.2881291,34.08876692,-1.988,2.802,153,2.55,8,20,2664
CT-1914.2,-118.2881151,34.08512634,-1.988,2.551,150,2.5,8,20,2663
CT-1915,-118.2960492,34.0872657,-2.442,2.699,255,4.25,8,20,2664
CT-1916.1,-118.305969,34.08639009,-3.009,2.638,171,2.85,8,20,2655
CT-1916.2,-118.302733,34.08859032,-2.824,2.79,92,1.533,8,20,2662
CT-1917.1,-118.3169695,34.08651745,-3.639,2.647,102,1.7,8,20,2655
CT-1917.2,-118.3123733,34.08879459,-3.376,2.804,136,2.267,8,20,2656
CT-1918.1,-118.3277244,34.08892885,-4.254,2.814,132,2.2,8,20,2640
CT-1918.2,-118.327717,34.08530115,-4.254,2.563,125,2.083,8,20,2637
CT-1919.01,-118.3383733,34.09068781,-4.863,2.935,110,1.833,8,20,2638
CT-1919.02,-118.3388344,34.08377768,-4.89,2.458,106,1.767,8,20,2632
CT-1920.01,-118.347309,34.08523205,-5.375,2.558,79,1.317,8,20,2632
CT-1920.02,-118.3553323,34.08354635,-5.834,2.442,95,1.583,8,20,2414
CT-1923,-118.3285045,34.07974788,-4.299,2.179,79,1.317,8,20,1214
CT-1924.1,-118.318113,34.07986261,-3.705,2.187,163,2.717,8,20,2637
CT-1924.2,-118.3113445,34.07988495,-3.317,2.189,133,2.217,8,20,1233
CT-1925.1,-118.306869,34.07987391,-3.061,2.188,206,3.433,8,20,2655
CT-1925.2,-118.3025094,34.07993039,-2.812,2.192,249,4.15,8,20,2655
CT-1926.1,-118.2961661,34.08136981,-2.449,2.291,151,2.517,8,20,1355
CT-1926.2,-118.2960663,34.0776765,-2.443,2.036,169,2.817,8,20,1237
CT-1927,-118.2881185,34.08001826,-1.988,2.198,139,2.317,8,20,1355
CT-1941.01,-118.3530322,34.1114235,-5.701,4.368,117,1.95,8,20,2635
CT-1941.02,-118.3662601,34.11687147,-6.457,4.744,108,1.8,8,20,2420
CT-1942,-118.3750087,34.10351366,-6.959,3.821,138,2.3,8,20,2413
CT-1943,-118.3875312,34.10167588,-7.675,3.694,136,2.267,8,20,2356
CT-1944.01,-118.364236,34.08431471,-6.344,2.495,83,1.383,8,20,2414
CT-1944.02,-118.3719135,34.08504557,-6.783,2.545,114,1.9,8,20,2411
CT-1945,-118.369608,34.07818006,-6.652,2.071,83,1.383,8,20,969
CT-1951,-118.2668318,34.10082977,-0.77,3.636,230,3.833,8,20,2712
CT-1952.01,-118.278529,34.10874705,-1.439,4.183,102,1.7,8,20,2710
CT-1952.02,-118.2785535,34.1029523,-1.44,3.782,117,1.95,8,20,2708
CT-1953,-118.2837016,34.09925541,-1.735,3.527,95,1.583,8,20,2707
CT-1954,-118.2740654,34.09169723,-1.184,3.005,143,2.383,8,20,2708
CT-1955,-118.2646244,34.0881914,-0.643,2.763,196,3.267,8,20,2709
CT-1956,-118.2655604,34.08083028,-0.697,2.254,112,1.867,8,20,1367
CT-1957.1,-118.2686145,34.07473406,-0.872,1.833,184,3.067,8,20,1363
CT-1957.2,-118.2633896,34.07376201,-0.573,1.766,67,1.117,8,20,1367
CT-1958.02,-118.2777083,34.07567538,-1.392,1.898,140,2.333,8,20,1358
CT-1958.03,-118.2769406,34.08181426,-1.348,2.322,77,1.283,8,20,1358
CT-1958.04,-118.2728314,34.07877926,-1.113,2.112,85,1.417,8,20,1358
CT-1959.01,-118.282327,34.08878351,-1.656,2.803,78,1.3,8,20,2705
CT-1959.02,-118.2793246,34.08638824,-1.485,2.638,84,1.4,8,20,2705
CT-1959.03,-118.2824522,34.0808177,-1.664,2.253,66,1.1,8,20,1358
CT-1972,-118.2345038,34.09040024,1.08,2.915,198,3.3,8,20,2747
CT-1973,-118.2520588,34.08114234,0.076,2.275,147,2.45,8,20,2709
CT-1974.1,-118.2504492,34.09291954,0.168,3.089,153,2.55,8,20,2734
CT-1974.2,-118.2571977,34.08320491,-0.218,2.418,123,2.05,8,20,2709
CT-1975,-118.2577026,34.07295774,-0.247,1.71,113,1.883,8,20,1366
CT-1976,-118.2519986,34.06833635,0.079,1.391,58,0.967,8,20,1421
CT-1977,-118.2457876,34.0685484,0.435,1.405,216,3.6,8,20,1422
CT-1990.01,-118.2173018,34.07681823,2.065,1.977,129,2.15,8,20,1939
CT-1990.02,-118.2199903,34.08080792,1.911,2.252,111,1.85,8,20,1937
CT-1991.1,-118.1974164,34.07936565,3.203,2.153,219,3.65,8,20,1948
CT-1991.2,-118.1997629,34.07001016,3.069,1.506,195,3.25,8,20,1947
CT-1992.01,-118.2119192,34.07622531,2.373,1.936,173,2.883,8,20,1939
CT-1992.02,-118.2033046,34.08128987,2.866,2.286,107,1.783,8,20,1948
CT-1993,-118.1992257,34.09262999,3.099,3.069,174,2.9,8,20,1948
CT-1994,-118.2094345,34.08927058,2.515,2.837,246,4.1,8,20,2827
CT-1997,-118.220232,34.06759516,1.897,1.339,101,1.683,8,20,1444
CT-1998.01,-118.2109696,34.06932055,2.428,1.459,275,4.583,8,20,1938
CT-1998.02,-118.2096571,34.07217158,2.503,1.656,134,2.233,8,20,1939
CT-1999,-118.2115879,34.06508431,2.392,1.166,116,1.933,8,20,1935
CT-2011.1,-118.1743454,34.09480919,4.523,3.22,97,1.617,8,20,2835
CT-2011.2,-118.1636575,34.09498529,5.134,3.232,203,3.383,8,20,2835
CT-2012,-118.1785594,34.08871332,4.282,2.799,133,2.217,8,20,1948
CT-2013.01,-118.1878509,34.08824709,3.75,2.766,257,4.283,8,20,1948
CT-2013.02,-118.183894,34.09788697,3.976,3.432,150,2.5,8,20,2830
CT-2014.01,-118.184837,34.08021622,3.923,2.211,249,4.15,8,20,1948
CT-2014.02,-118.1877803,34.06891555,3.755,1.431,207,3.45,8,20,1972
CT-2015.01,-118.1646676,34.08657942,5.077,2.651,285,4.75,8,20,2835
CT-2015.03,-118.1739129,34.08517743,4.548,2.554,185,3.083,8,20,2835
CT-2015.04,-118.1738041,34.08083286,4.554,2.254,92,1.533,8,20,1979
CT-2016.01,-118.1774745,34.07270199,4.345,1.692,108,1.8,8,20,1972
CT-2016.02,-118.1679041,34.07715485,4.892,2,166,2.767,8,20,1979
CT-2017,-118.1709007,34.06743639,4.721,1.328,232,3.867,8,20,1974
CT-2031,-118.1964887,34.05908386,3.257,0.751,284,4.733,8,20,1945
CT-2032,-118.1968768,34.0526077,3.235,0.304,415,6.917,8,20,1945
CT-2033,-118.2062948,34.0597643,2.695,0.798,212,3.533,8,20,1943
CT-2035,-118.2200687,34.05593174,1.907,0.533,166,2.767,8,20,1929
CT-2036.01,-118.2082138,34.05167763,2.586,0.24,120,2,8,20,1942
CT-2036.02,-118.2114644,34.05085207,2.4,0.182,82,1.367,8,20,1931
CT-2037.1,-118.2009444,34.04989806,3.002,0.117,208,3.467,8,20,1940
CT-2037.2,-118.2031623,34.04689838,2.875,-0.091,279,4.65,8,20,1925
CT-2038,-118.1955878,34.04499052,3.309,-0.223,224,3.733,8,20,1926
CT-2039,-118.1944929,34.03338523,3.372,-1.024,221,3.683,8,20,1924
CT-2041.1,-118.1987266,34.03879183,3.129,-0.651,207,3.45,8,20,1926
CT-2041.2,-118.2011803,34.03389535,2.989,-0.989,187,3.117,8,20,1921
CT-2042,-118.2050879,34.04362436,2.765,-0.317,214,3.567,8,20,1925
CT-2043,-118.2078846,34.03875402,2.605,-0.653,325,5.417,8,20,1919
CT-2044.1,-118.2152829,34.046193,2.181,-0.139,162,2.7,8,20,1916
CT-2044.2,-118.2116319,34.04453652,2.39,-0.254,133,2.217,8,20,1919
CT-2046,-118.2168183,34.03709175,2.094,-0.768,273,4.55,8,20,1918
CT-2047,-118.2124637,34.03098696,2.343,-1.19,431,7.183,8,20,1910
CT-2048.1,-118.2030125,34.0285607,2.884,-1.358,284,4.733,8,20,1921
CT-2048.2,-118.2058535,34.0238201,2.722,-1.685,165,2.75,8,20,1920
CT-2049.1,-118.1955823,34.02488767,3.31,-1.612,207,3.45,8,20,1921
CT-2049.2,-118.1975098,34.01750528,3.2,-2.122,182,3.033,8,20,1887
CT-2051.1,-118.2143108,34.02451074,2.238,-1.638,261,4.35,8,20,1911
CT-2051.2,-118.2118079,34.01875944,2.381,-2.035,265,4.417,8,20,1868
CT-2060.1,-118.2312345,34.06882677,1.268,1.424,150,2.5,8,20,1443
CT-2060.2,-118.2317509,34.05755096,1.238,0.645,186,3.1,8,20,1439
CT-2060.5,-118.2228987,34.03151649,1.746,-1.154,93,1.55,8,20,1913
CT-2060.51,-118.2324815,34.02749049,1.197,-1.432,49,0.817,8,20,1395
CT-2060.52,-118.2335437,34.04817886,1.136,-0.002,88,1.467,8,20,1402
CT-2060.53,-118.2243982,34.04503748,1.659,-0.219,110,1.833,8,20,1915
CT-2060.54,-118.2254678,34.04992842,1.598,0.119,189,3.15,8,20,1927
CT-2062.01,-118.2440141,34.04749215,0.536,-0.05,65,1.083,8,20,1383
CT-2062.02,-118.2403322,34.04673669,0.747,-0.102,71,1.183,8,20,1383
CT-2063.01,-118.2476356,34.04366801,0.329,-0.314,62,1.033,8,20,1411
CT-2063.02,-118.2456498,34.04270036,0.443,-0.381,62,1.033,8,20,1383
CT-2063.03,-118.241593,34.04015138,0.675,-0.557,55,0.917,8,20,1400
CT-2071.01,-118.2448299,34.06120757,0.49,0.898,127,2.117,8,20,1420
CT-2071.02,-118.2395219,34.05928999,0.793,0.766,134,2.233,8,20,1432
CT-2071.03,-118.2392847,34.06448725,0.807,1.125,65,1.083,8,20,1422
CT-2073.03,-118.2539041,34.04329659,-0.03,-0.34,78,1.3,8,20,1379
CT-2073.04,-118.2515097,34.04630626,0.107,-0.132,63,1.05,8,20,1380
CT-2073.05,-118.2496737,34.04943284,0.212,0.084,31,0.517,8,20,1380
CT-2073.06,-118.2464378,34.0488633,0.398,0.045,65,1.083,8,20,1381
CT-2073.07,-118.2492803,34.04600582,0.235,-0.152,36,0.6,8,20,1381
CT-2073.08,-118.2506661,34.04460625,0.156,-0.249,38,0.633,8,20,1381
CT-2074,-118.2456022,34.05577888,0.445,0.523,53,0.883,8,20,1410
CT-2075.01,-118.2529797,34.05644706,0.023,0.569,62,1.033,8,20,1407
CT-2075.02,-118.2530962,34.0527119,0.016,0.311,115,1.917,8,20,1403
CT-2077.11,-118.2647898,34.04635549,-0.653,-0.128,37,0.617,8,20,1348
CT-2077.12,-118.2564214,34.04774968,-0.174,-0.032,101,1.683,8,20,1362
CT-2079.01,-118.2641785,34.04291897,-0.618,-0.366,93,1.55,8,20,1348
CT-2079.02,-118.2590183,34.03983906,-0.323,-0.578,187,3.117,8,20,1378
CT-2080.01,-118.2552968,34.06054893,-0.11,0.853,63,1.05,8,20,1406
CT-2080.02,-118.2572098,34.06552382,-0.219,1.196,296,4.933,8,20,1364
CT-2083.01,-118.2658613,34.06198299,-0.714,0.952,126,2.1,8,20,1364
CT-2083.02,-118.2624938,34.06348373,-0.522,1.055,192,3.2,8,20,1364
CT-2084.01,-118.269142,34.06377078,-0.902,1.075,200,3.333,8,20,1359
CT-2084.02,-118.2660254,34.0683693,-0.724,1.393,166,2.767,8,20,1360
CT-2085.01,-118.2719585,34.06953647,-1.063,1.474,88,1.467,8,20,1359
CT-2085.02,-118.2741767,34.06605386,-1.19,1.233,190,3.167,8,20,1359
CT-2086.1,-118.2817846,34.0721639,-1.626,1.655,156,2.6,8,20,1357
CT-2086.2,-118.2779951,34.06971386,-1.409,1.486,169,2.817,8,20,1358
CT-2087.1,-118.2825535,34.06573244,-1.67,1.211,196,3.267,8,20,1352
CT-2087.2,-118.2811167,34.0627677,-1.588,1.006,144,2.4,8,20,1352
CT-2088.01,-118.2766286,34.06009971,-1.331,0.821,111,1.85,8,20,1354
CT-2088.02,-118.278681,34.06215028,-1.448,0.963,113,1.883,8,20,1354
CT-2089.02,-118.2723843,34.0564511,-1.088,0.569,156,2.6,8,20,1354
CT-2089.03,-118.2733717,34.05980453,-1.144,0.801,176,2.933,8,20,1354
CT-2089.04,-118.2701051,34.05957295,-0.957,0.785,199,3.317,8,20,1354
CT-2091.03,-118.2640424,34.05711483,-0.61,0.615,180,3,8,20,1361
CT-2091.04,-118.2663883,34.05918304,-0.745,0.758,96,1.6,8,20,1364
CT-2091.05,-118.2677618,34.0576534,-0.823,0.652,255,4.25,8,20,1354
CT-2091.06,-118.2674476,34.05426636,-0.805,0.418,75,1.25,8,20,1361
CT-2092.01,-118.2626654,34.05238995,-0.531,0.289,102,1.7,8,20,1361
CT-2092.02,-118.2600065,34.05547633,-0.379,0.502,93,1.55,8,20,1404
CT-2093,-118.2683137,34.05073484,-0.855,0.174,187,3.117,8,20,1342
CT-2094.01,-118.2815369,34.05672602,-1.612,0.588,152,2.533,8,20,1351
CT-2094.02,-118.2772331,34.05466674,-1.365,0.446,228,3.8,8,20,1354
CT-2094.03,-118.2738568,34.05313764,-1.172,0.34,234,3.9,8,20,1354
CT-2095.1,-118.2819706,34.05296749,-1.637,0.329,122,2.033,8,20,1351
CT-2095.2,-118.2769625,34.05055678,-1.35,0.162,141,2.35,8,20,1353
CT-2098.1,-118.2823571,34.04912214,-1.659,0.063,116,1.933,8,20,1341
CT-2098.2,-118.278267,34.04721809,-1.425,-0.069,162,2.7,8,20,1341
CT-2100.1,-118.272322,34.0468551,-1.084,-0.094,146,2.433,8,20,1342
CT-2110,-118.3317537,34.06779078,-4.486,1.353,206,3.433,8,20,1214
CT-2111.21,-118.2854228,34.07301489,-1.834,1.714,94,1.567,8,20,1357
CT-2111.22,-118.2892356,34.07268423,-2.052,1.691,108,1.8,8,20,1356
CT-2111.23,-118.2872026,34.06272311,-1.936,1.003,64,1.067,8,20,1352
CT-2111.24,-118.2880454,34.06633795,-1.984,1.253,207,3.45,8,20,1236
CT-2112.01,-118.2984815,34.07453429,-2.581,1.819,137,2.283,8,20,1237
CT-2112.02,-118.2941252,34.07452577,-2.332,1.818,85,1.417,8,20,1237
CT-2113.1,-118.298505,34.07091401,-2.583,1.569,150,2.5,8,20,1237
CT-2113.2,-118.2941516,34.07087633,-2.334,1.566,120,2,8,20,1237
CT-2114.1,-118.3073277,34.07261911,-3.088,1.687,133,2.217,8,20,1233
CT-2114.2,-118.3029545,34.07264124,-2.837,1.688,125,2.083,8,20,1233
CT-2115,-118.3152718,34.07246136,-3.542,1.676,182,3.033,8,20,1233
CT-2117.01,-118.3184653,34.06534538,-3.725,1.184,90,1.5,8,20,1213
CT-2117.03,-118.3115942,34.0671515,-3.332,1.309,156,2.6,8,20,1232
CT-2117.04,-118.3115905,34.06351631,-3.332,1.058,108,1.8,8,20,1232
CT-2118.02,-118.3047376,34.06354228,-2.94,1.059,158,2.633,8,20,1232
CT-2118.03,-118.3022444,34.06719282,-2.797,1.312,159,2.65,8,20,1232
CT-2118.04,-118.3066189,34.06716676,-3.047,1.31,120,2,8,20,1232
CT-2119.1,-118.2985158,34.06721265,-2.583,1.313,144,2.4,8,20,1236
CT-2119.21,-118.2929142,34.0672369,-2.263,1.315,93,1.55,8,20,1236
CT-2119.22,-118.2954103,34.067227,-2.406,1.314,132,2.2,8,20,1236
CT-2121.01,-118.2941536,34.06360044,-2.334,1.063,99,1.65,8,20,1236
CT-2121.02,-118.2985097,34.06357747,-2.583,1.062,108,1.8,8,20,1236
